"","site","forage.div","tid","BirdID"
"1","Natural",5,1,"bx-ri"
"2","Natural",3,2,"bx-ri"
"3","Natural",3,1,"g-x"
"4","Natural",1,2,"g-x"
"5","Natural",5,1,"h-gwx"
"6","Natural",6,2,"h-gwx"
"7","Natural",3,1,"h-rwx"
"8","Natural",4,2,"h-rwx"
"9","Natural",2,1,"i-axg"
"10","Natural",4,2,"i-axg"
"11","Natural",2,1,"i-pax"
"12","Natural",2,2,"i-pax"
"13","Natural",2,1,"i-pax ub"
"14","Natural",2,1,"i-wbx"
"15","Natural",2,1,"i-wxg"
"16","Natural",3,1,"i-xpo"
"17","Natural",2,2,"i-xpo"
"18","Natural",1,1,"oi-x"
"19","Natural",1,1,"op-xi"
"20","Natural",1,1,"rl-xi"
"21","Natural",3,1,"xhw-i"
"22","Natural",5,2,"xhw-i"
"23","Natural",2,1,"xhw-i ub"
"24","Natural",2,2,"xhw-i ub"
"25","Natural",2,1,"xi-rh"
"26","Natural",4,2,"xi-rh"
"27","Natural",2,1,"xy-i"
"28","Natural",2,2,"xy-i"
"29","Natural",3,1,"yg-xi"
"30","Natural",1,2,"yg-xi"
"31","Natural",3,1,"yx-wi"
"32","Natural",5,2,"yx-wi"
"33","Suburban",3,1,"ak-ox"
"34","Suburban",4,1,"bx-wk"
"35","Suburban",2,1,"bx-yk"
"36","Suburban",5,1,"gx-ak"
"37","Suburban",5,1,"gx-ok"
"38","Suburban",2,1,"ow-xk"
"39","Suburban",4,1,"rx-yk"
"40","Suburban",4,1,"wk-ox"
"41","Suburban",4,2,"wk-ox"
"42","Suburban",7,1,"wx-rk"
"43","Suburban",1,1,"yx-dgk"
"44","Suburban",2,1,"yx-gk"
